*	bg	MeetingRoom
*	bgm	Script_Normal

blank	-	-	제국력 518년 1월 19일, 회의실
noel	-	노엘	작전은 실패다.
blank	-	-	가장 큰 목표, 루키어스 하스켈과 레이나 핀토스를 비롯해 상당수를 놓쳤다. ‘실패’라는 표현이 너무나 담담해서 상황에 어울리지 않을 정도의 결과.
sepia	-	세피아	……작전이 형편없는 실패로 끝났다는 건 부인할 수 없겠군요. 변명의 여지조차 없습니다.
arcadia	-	아르카디아	정보원으로 쓸 수 있는 자를 하나 생포했다는 건 그나마 다행이라고 해야겠지만.
darkenir	-	달케니르	상대를 과소평가한 탓이 크도다. 고작 두 명이서 포위망을 뚫고, 마법진으로 강화 설계된 건물 내벽을 무너뜨리는 괴물들이라고는 생각하지 않았으니.
grenev	-	그레네브	흥, 평화가 너무 길어서 그래. 평소에 놀기만 하니까 감이 녹슨 거라고.
bianca	-	비앙카	아무리 그래도 그렇지! 어떻게 그만한 전력과 준비를 갖추고 기습을 했는데 고작 몇 놈 잡는 데 그칠 수가 있어?!
blank	-	-	……벌써부터 머리가 지끈거린다. 예전엔 안 그랬는데.
noel	-	노엘	원인을 분석해서 나아가는 것도 중요한 일이지만, 이 자리의 목적은 그게 아니다.
bianca	-	비앙카	그렇군요!! 그럼 저희 집행관들은 무엇을 하면 될까요?
blank	-	-	변함없이 태도 변화가 빠른 아이다. 자신의 말만큼은 누가 뭐래도 확실하게 들으니 편하긴 하지만.
blank	-	-	그런 생각을 머릿속 한구석으로 치우며 본론을 꺼냈다.
noel	-	노엘	폐하께서 도주한 자들을 최대한 빨리 추적하라 명하셨다.
noel	-	노엘	하지만 모두가 한꺼번에 움직이면 동시에 자리를 비운다는 위험도 있고, 이동 속도도 느려지겠지.
bianca	-	비앙카	제가 가겠슴다! 움직인 흔적을 추적해야 하고, 빠르게 움직여야 한다면 저만한 적임자는 없죠!
darkenir	-	달케니르	과연, 타당한 이야기지만……혼자서 괜찮겠느냐?
darkenir	-	달케니르	실패했을 때는 이유를 철저히 파악하고 다음 기회에 반영해야 하느니라. 적들의 무위는 우리의 예상 범위를 벗어나고 있도다.
bianca	-	비앙카	그래 봤자 상처입은 잔당이지! 숫자가 그렇게 많은 것도 아니고.
json	-	제이선	애초에 네 부대는 추적과 보조에 특화되어 있다는 걸 잊지 마. 목표를 발견하면 주변의 군 부대와 연락해서 같이 공격하는 게 나을 거다.
blank	-	-	평소에 말이 거의 없는 제이선 어셈블리가, 의외로 마침 적절한 때에 비앙카를 말려주었다. 설득할 수고를 조금 덜었나.
darkenir	-	달케니르	좋은 생각이군. 그 정도라면 충분하겠지.
noel	-	노엘	현 시점에서 가장 시급한 것은 반역자들의 구심점, 루키어스 하스켈과 레이나 핀토스. 그 둘을 격파하면 나머지는 빠르게 무너지겠지.
arcadia	-	아르카디아	둘이 흩어져서 도망쳤을 경우, 비앙카 혼자서 양쪽을 쫓을 수는 없겠군요. 만에 하나 둘이 같이 행동할 경우, 비앙카 부대만으로 상대하기는 어렵기도 하고.
sepia	-	세피아	그렇다면 적어도 한 명은 더 추적 임무에 투입해야 한다는 말이 됩니다. 한 명은 레이나 핀토스, 다른 한 명은 루키어스 하스켈을 쫓도록 말이죠.
json	-	제이선	……그렇다면 나도 가지.
noel	-	노엘	제이선이?
blank	-	-	오늘따라 평소와 다르게 적극적인 태도인가? 관리자로서는 반가운 일이다. 그렇지 않아도 이래저래 곤란한 참이었으니까.
noel	-	노엘	그럼, 국장님께는 그렇게 보고하도록 하지. 비앙카와 제이선은 지금 바로 출발할 준비를 시작해.
arcadia	-	아르카디아	잠깐. 다른 요원들은 계속 대기입니까?
noel	-	노엘	나머지는 내일 핀토스 저택을 수색하러 간다. 목적은 놈들이 빼돌린 모나드 님을 우리가 가서 확보하는 것.
noel	-	노엘	적의 본거지인 만큼 무엇이 있을지 모르니 모두 만반의 준비를 갖추도록.
sepia	-	세피아	명을 받들겠습니다.

*	load_script	Scene#3-2
sepia	-	세피아	명을 받들겠습니다.
*	load_battle	2
