Script#19
*	BG	MeetingRoom
*	BGM	Script_Normal
blank	-	-	<color=yellow>제국력 518년 1월 30일, 제국 서부 셀리안, 공업도시 마뉴부르크</color>
karldrich	-	칼드리치	본인은 칼드리치 플레임이라고 하오. 지금은 루키어스 하스켈의 동맹이라고 해 두겠소.
blank	-	-	칼드리치 플레임은 루키어스 하스켈을 따라 그의 지인이라는 대장장이의 거처까지 도달하는 데 성공했다.
schmitt	-	슈미트	허어, 모나폴리부터 변변한 마차 하나 없이 여기까지 오시다니, 먼 길 고생이 많으셨겠습니다.
lucius	-	루키어스	아니, 별 말씀을요. 쫓기는 처지가 되어 폐를 끼치러 왔는데도 내치지 않고 받아주시니 감사할 따름이죠.
schmitt	-	슈미트	제가 하스켈 공작께 받은 은혜에 비하면 아무것도 아닙니다. 고용인들에게 적절한 방을 청소하고 식사를 준비하라 일러둘 테니, 잠시 자리를 비우는 실례를 용서하시길.
*	BGM	Script_Prelude
*	SE	Push
karldrich	-	칼드리치	야, 근데 진짜 괜찮은 거지? 설마 이 양반이 너 팔아넘기고 현상금 타먹으려고 하는 건 아니겠지?
lucius	-	루키어스	혹시 제국 영웅전은 읽어 보았나?
karldrich	-	칼드리치	아니.
lucius	-	루키어스	이런 일화가 있지. 쫓기던 두 사람이 믿을 수 있는 친구의 집에 묵었는데, 주인이 잠시 기다리라며 자리를 비우고 한쪽에서는 수군대는 말소리가 났다는 거야.
karldrich	-	칼드리치	(영웅전은 개뿔, 지들은 성에 처박힌 채 민중의 모가지를 수만 개씩 갈아서 정복욕이나 채우던 잡배놈들 허풍 아닌가.)
karldrich	-	칼드리치	뭐, 일단 들어 보기나 하자. 그래서?
lucius	-	루키어스	자기들을 신고하려는 줄 알고 집안 사람들을 모두 죽였는데, 알고 보니 성대한 만찬을 대접하려고 했더라는 이야기다.
karldrich	-	칼드리치	얌마, 내가 지금 싹 다 죽이자는 게 아니잖아. 있을 수 있는 상황을 대비해서 긴장은 놓지 말라는 거지.
lucius	-	루키어스	내 신뢰를 믿지 못한다면 그쪽이나 실컷 경계하시지.
karldrich	-	칼드리치	그래 그래, 됐다 짜식아. 그나저나 집이 거의 저택 수준이군. 게다가 고용인도 있다니, 이거 평민 맞나?
lucius	-	루키어스	한 자루도 빠짐없이 직접 제작한 명검으로 얻은 수입이지.
karldrich	-	칼드리치	그걸 너 같은 금수저들에게 팔고 다른 평민들 등골 빼먹은 돈을 받아 챙겼다는 이야기군.
lucius	-	루키어스	……지금 시비 거는 건가?
karldrich	-	칼드리치	어허, 천만에. 평생 체제에 안주하며 물들어버린 네 생각을 씻어주기 위한 충격요법이라고? 이봐, 이 세상은 말이지…….

*	Battle	10
