Script#15
*	BG	RockMountain
*	BGM	Script_Normal
blank	-	-	<color=yellow>제국력 518년 1월 25일, 텔루르 산</color>
lenien	-	리니안	……이런. 망했나, 이거?
blank	-	-	여비가 부족하니 어떻게든 지름길로 가야겠다고 생각한 게 화근이었다. 지도가 있으면 어떻게든 될 줄 알았지만, 험준한 산악지대란 상상 이상으로 거기가 거기처럼 보였던 것이다.
lenien	-	리니안	나름대로 세운 예상 기간에 여분까지 마련한 식량도 슬슬 떨어져 가고.
blank	-	-	여행자를 노리는 잡범들이나 괴수 같은 건 별로 문제될 게 없었지만, 며칠째 산 속에서 불편한 자세로 밤을 지새우자 가만히 있어도 온몸이 뻐근할 지경이었다.
blank	-	-	게다가 지금은 한겨울. 나름 보온에 신경을 쓴다고 썼지만 산의 기후는 지상과 또 달랐고, 조만간 먹어야 살 수 있다는 인류의 근원적인 한계 중 하나에 부딪칠 위기에 처한 상태였다.
lenien	-	리니안	비유적으로 하는 말이 아니라 이거 자칫하면 진짜로 죽겠는데.

lenien	-	리니안	뭐, 뭐지?!
blank	-	-	설마 말로만 듣던 산사태가 하필 이 순간에, 하는 생각이 스치면서 소리가 난 쪽을 돌아봤지만 다행히 그렇게까지 재수가 없지는 않았다.
blank	-	-	책만 읽다 보니 좋은 편은 못 되는 눈을 찌푸려가며 자세히 보자 아담한 크기의 건물이 하나 보였다. 본 적 없는 양식의 건축물이었지만 그런 건 중요하지 않았다.
lenien	-	리니안	오, 맙소사. 왜 여태껏 저걸 못 본 거지? 뜬금없는 지진이 아니었으면 큰일 날 뻔했네.
lenien	-	리니안	어지간하면 구걸은 사양이지만…… 지금은 그런 걸 따질 때가 아니겠지.

*	FO
*	BG	Library
*	BGM	Script_Tense
*	FI

blank	-	-	문을 열고 들어갔지만 그 안에는 덩그러니 아래층으로 향하는 계단뿐이었고, 그대로 타고 내려가자 계단이 끝나는 지점에는 사람이 한 명 쓰러져 있었다.
lenien	-	리니안	시체?!
lenien	-	리니안	아직 젊어 보이는데, 나이로 보나 장소로 보나 자연사는 아니겠고…… 설마, 여기 위험한 곳인 건가?
reina	-	???	으윽……
lenien	-	리니안	헉, 사, 살아 있었네!
reina	-	???	누, 누구냐!
blank	-	-	쓰러져 있던 사람에게 그런 기운이 있었나 싶을 정도로 세게 밀치더니 튕겨나가듯 거리를 벌리며 물었다. 노골적인 경계였다.
blank	-	-	상대가 이쪽을 어떻게 생각하는지는 대충 알겠지만, 적대할 이유가 확실하지 않다면 평화적인 방법부터 시도하는 쪽이 맞을 것이다.
lenien	-	리니안	(싸움은, 그 다음에 해도 늦지 않아.)
blank	-	-	주위의 에테르를 손끝으로 끌어모으며 어떻게 될 지 모를 상황에 대비한 채, 순리에 맞게 스스로를 먼저 소개했다.
*	BGM	Script_Prelude
lenien	-	리니안	……제 이름은 리니안. 일단은 길 잃은 나그네라고 해 두죠. 자바 연방 공화국에서 왔습니다.
reina	-	???	제국 사람이 아니라고요?
blank	-	-	오늘날 연방과 제국의 관계는 상당히 나쁘다. 그런데 상대는 오히려 그 말에 조금 긴장을 낮춘 듯한 모습이었다.
lenien	-	리니안	뭐어, 유니티의 마법학회에 가입하고 싶어서 말이죠.
reina	-	???	흐음. 그쪽에도 마법을 공부할 곳은 있지 않나요?
lenien	-	리니안	(하, 이 사람도 어김없이 그 질문이군.)
lenien	-	리니안	거기엔 미래가 없어요. 죄다 이익에만 눈이 멀어 학문의 순수성을 더럽히는 멍청이들뿐이니까. 자바 마법학계가 자원이 부족해서라는 핑계를 대지만 그런 정신머리로는 수정이 남아돌아도 안 될 걸요?
reina	-	???	풋, 그래서 통제된 국경을 넘어서 어쩌다 보니 이 산구석까지 오셨다?
lenien	-	리니안	……참나, 제가 생각해도 못 믿을 이야기네요.
reina	-	???	그러게요. 너무 허무맹랑해서 거짓말로 쓸 것 같지는 않은 이야기죠.
blank	-	-	그렇게 말하고는 상대도 자신의 정체를 밝혔다.
reina	-	레이나	레이나 핀토스. 당신이 찾던 제국 마법학회의 수장……이었죠. 얼마 전까지는.

*	FO
*	BGM	Script_Normal
*	FI

lenien	-	리니안	흐음. 오는 길에 핀토스 가문이 망했다고 사람들이 떠드는 걸 어렴풋이 들었는데, 그런 뒷사정이 있었군요.
reina	-	레이나	안 망했어요.
blank	-	-	레이나 핀토스는 별로 중요하지도 않은 걸 굳이 바로잡고 나섰다.
lenien	-	리니안	(그나저나 제국 정세도 난장판이로군.)
blank	-	-	그리고, 세상이 어지러울수록 정말로 능력 있는 사람의 진가가 드러나는 법이다.
lenien	-	리니안	그럼 제가 도와드릴까요?
*	FO
*	BG	LibraryCrystal
*	FI
reina	-	레이나	핀토스의 생존자들을 찾아서 뭉쳐야 해요. 
blank	-	-	그렇게 말하며 그는 수정으로 된 웅장한 크기의 물체를 향해 천천히 걸어갔다. 무릎을 조금 넘게 올라오는 받침대에 천장까지 닿을 듯한 높이.
lenien	-	리니안	오호…… 멋진 조각상이군요.
reina	-	레이나	단순한 조각상이 아니라 통신기죠.
lenien	-	리니안	이만한 게?! 저, 정말이라면 대륙 반대편까지도 닿겠군요.
reina	-	레이나	핀토스의 생존자들을 찾아서 뭉쳐야 해요. 그러려면 이걸로 신호를 보내야 하죠…… 하지만, 에테르가 없어서 지금은 쓸 수 없군요.
lenien	-	리니안	어…… 저만한 걸 작동시키려면 사람의 에테르 정도로는 안 될 것 같은데요.
reina	-	레이나	그건 저한테 다 생각이 있으니 걱정 마시죠.
*	FO
*	BG	RockMountain
*	FI
blank	-	-	자신만만하게 말하는 그의 뒤를 따라 걷고 어느 정도 지났을 때, 푸른 잡초가 깔린 비탈길의 군데군데 마구잡이로 파헤쳐진 흙 색깔이 드러나 보였다.
reina	-	레이나	외부에 알려지지 않은 비밀 광맥이에요. 값비싼 보석은 없지만, 에테르 수정 외에도 흔한 광석 정도라면 구할 수 있죠.
lenien	-	리니안	정말 땅만 파면 수정이 나오는 곳이라니……어떻게 이런 곳이 아직까지 남아있을 수 있는 거죠?
blank	-	-	<color=red>자리를 잘못 잡은 탓인지</color> 수정 생산이 많이 부족해서 연구자들조차 마음껏 사용하지 못하는 공화국에서 살던 사람에게, 그런 자원을 산책하듯 나가서 구해올 수 있는 이 상황은 너무나도 현실감이 없었다.
*	Glos	Etc	10	2
reina	-	레이나	원래 이 일대는 핀토스 가문의 사유지였으니까요. 뭐, 이젠 사유지는커녕 도망자 신세지만 말이죠.
blank	-	-	관리의 손길이 끊긴 지 한 주 남짓 되었을 텐데도 불구하고 주변에는 괴수들이 한가로이 돌아다니고 있었다.
reina	-	레이나	다만 지금은 지나치게 자연친화적이라는 문제가 있는 것 같군요.
lenien	-	리니안	(한동안 동료가 될 사람에게 실력을 보여줄 기회인가.)
lenien	-	리니안	후후, 괴수쯤이야 별 거 아니죠.
reina	-	레이나	실력이 꽤 자신이 있나 보죠? 좋아요.
reina	-	레이나	상대해 봤자 금방 주변에 있던 녀석들이 몰려올 테니까, 필요한 만큼만 확보하면 바로 빠져나갈 거에요. 준비됐죠?
*	Battle	8
